Team,Match,Winning,Drawing,Losing
Semen Padang FC,Semen Padang FC vs PSS Sleman,17.53846154,-,0
Semen Padang FC,Semen Padang FC vs Borneo FC Samarinda,0,-,17.38095238
Semen Padang FC,Bali United FC vs Semen Padang FC,0,15.2,18.2
Semen Padang FC,Malut United FC vs Semen Padang FC,0,17.2,8.25
Semen Padang FC,PERSIB Bandung vs Semen Padang FC,0,15.2,56
Semen Padang FC,PSBS Biak vs Semen Padang FC,-,22.5,15
Semen Padang FC,PERSITA Tangerang vs Semen Padang FC,0,20.33333333,8.714285714
Semen Padang FC,Semen Padang FC vs Dewa United FC,0,-,14.33333333
Semen Padang FC,Semen Padang FC vs PERSIS Solo,0,14.52941176,0
Semen Padang FC,Semen Padang FC vs PS Barito Putera,0,31,7.727272727
Semen Padang FC,Semen Padang FC vs PSM Makassar,-,32.16666667,0
PSS Sleman,PSS Sleman vs Borneo FC Samarinda,0,13.4,14.84615385
PSS Sleman,Bali United FC vs PSS Sleman,0,13,0
PSS Sleman,PERSEBAYA Surabaya vs PSS Sleman,0,15.88888889,6.666666667
PSS Sleman,PERSIS Solo vs PSS Sleman,17.33333333,11.58333333,0
PSS Sleman,PS Barito Putera vs PSS Sleman,17.45454545,13.5,0
PSS Sleman,PSS Sleman vs AREMA FC,24.8,8.5,0
PSS Sleman,PSS Sleman vs PERSITA Tangerang,14.5,9.857142857,0
PSS Sleman,PSS Sleman vs Malut United FC,0,21.625,17.6
PSS Sleman,PSS Sleman vs PERSIK Kediri,0,16.5,15.9
PSS Sleman,PSS Sleman vs PSBS Biak,0,17.77777778,17.5
PSS Sleman,Semen Padang FC vs PSS Sleman,0,-,7.222222222
PSM Makassar,PSM Makassar vs Madura United FC,16.88888889,14.8,0
PSM Makassar,PERSEBAYA Surabaya vs PSM Makassar,16.66666667,7.166666667,0
PSM Makassar,PERSIJA Jakarta vs PSM Makassar,14.11764706,7.75,0
PSM Makassar,PSBS Biak vs PSM Makassar,10.38461538,9.916666667,0
PSM Makassar,PSM Makassar vs AREMA FC,0,10.27272727,4.647058824
PSM Makassar,PSM Makassar vs Dewa United FC,25.25,8.615384615,0
PSM Makassar,PSM Makassar vs PERSIS Solo,13.3125,7.5,0
PSM Makassar,PSM Makassar vs PERSIB Bandung,0,11.54545455,0
PSM Makassar,PSM Makassar vs PERSIK Kediri,0,11,-
PSM Makassar,PSM Makassar vs PSIS Semarang,0,12.77777778,0
PSM Makassar,Semen Padang FC vs PSM Makassar,0,15.90909091,-
PSIS Semarang,Dewa United FC vs PSIS Semarang,0,24.4,8
PSIS Semarang,Madura United FC vs PSIS Semarang,0,50,24.33333333
PSIS Semarang,PERSIB Bandung vs PSIS Semarang,0,29.66666667,13.625
PSIS Semarang,PERSIK Kediri vs PSIS Semarang,6,14.21428571,0
PSIS Semarang,PERSIS Solo vs PSIS Semarang,27.5,26.2,0
PSIS Semarang,PSIS Semarang vs AREMA FC,27,11.66666667,5
PSIS Semarang,PSIS Semarang vs PERSEBAYA Surabaya,0,19.2,16.33333333
PSIS Semarang,PSIS Semarang vs PERSIJA Jakarta,0,25,39.75
PSIS Semarang,PSIS Semarang vs PERSITA Tangerang,0,7.15,22
PSIS Semarang,PSIS Semarang vs PSBS Biak,11.75,49.66666667,0
PSIS Semarang,PSM Makassar vs PSIS Semarang,0,10.41666667,0
PSBS Biak,PSBS Biak vs PERSEBAYA Surabaya,0,11.5,14.7
PSBS Biak,Borneo FC Samarinda vs PSBS Biak,0,9,17.33333333
PSBS Biak,PERSIB Bandung vs PSBS Biak,0,7.888888889,12.54545455
PSBS Biak,PERSIK Kediri vs PSBS Biak,19,18.125,0
PSBS Biak,PSBS Biak vs Bali United FC,10.5,13.28571429,0
PSBS Biak,PSBS Biak vs Madura United FC,15.25,12,0
PSBS Biak,PSBS Biak vs PERSIJA Jakarta,27.2,24.75,0
PSBS Biak,PSBS Biak vs PSM Makassar,0,8.333333333,8.666666667
PSBS Biak,PSBS Biak vs Semen Padang FC,45,10.875,4
PSBS Biak,PSIS Semarang vs PSBS Biak,0,6.8,6.428571429
PSBS Biak,PSS Sleman vs PSBS Biak,19,22.5,0
PS Barito Putera,PS Barito Putera vs Borneo FC Samarinda,0,22.125,10.36363636
PS Barito Putera,Bali United FC vs PS Barito Putera,0,17,17
PS Barito Putera,Malut United FC vs PS Barito Putera,0,12.0625,0
PS Barito Putera,PERSEBAYA Surabaya vs PS Barito Putera,10.25,10.8,4
PS Barito Putera,PERSIJA Jakarta vs PS Barito Putera,0,17,24.81818182
PS Barito Putera,PS Barito Putera vs AREMA FC,0,14,13.11111111
PS Barito Putera,PS Barito Putera vs PERSIK Kediri,9,8.3125,13.5
PS Barito Putera,PS Barito Putera vs Madura United FC,18.4,0,0
PS Barito Putera,PS Barito Putera vs PERSITA Tangerang,0,12.33333333,11.27777778
PS Barito Putera,PS Barito Putera vs PSS Sleman,0,24,8.388888889
PS Barito Putera,Semen Padang FC vs PS Barito Putera,27.5,4.285714286,0
PERSITA Tangerang,Madura United FC vs PERSITA Tangerang,12,18.625,0
PERSITA Tangerang,PERSIK Kediri vs PERSITA Tangerang,0,26,6.666666667
PERSITA Tangerang,PERSITA Tangerang vs Bali United FC,0,12.08333333,-
PERSITA Tangerang,Borneo FC Samarinda vs PERSITA Tangerang,0,26.375,0
PERSITA Tangerang,PERSITA Tangerang vs PERSEBAYA Surabaya,0,17,7.5625
PERSITA Tangerang,PERSITA Tangerang vs Malut United FC,0,36,15.72727273
PERSITA Tangerang,PERSITA Tangerang vs PERSIJA Jakarta,0,22.4,0
PERSITA Tangerang,PS Barito Putera vs PERSITA Tangerang,31,15.33333333,0
PERSITA Tangerang,PSIS Semarang vs PERSITA Tangerang,11.33333333,10.19047619,0
PERSITA Tangerang,PSS Sleman vs PERSITA Tangerang,0,43.33333333,13.57142857
PERSITA Tangerang,PERSITA Tangerang vs Semen Padang FC,5.777777778,23.66666667,0
PERSIS Solo,PERSIS Solo vs PERSIK Kediri,0,14.25,4
PERSIS Solo,Semen Padang FC vs PERSIS Solo,0,8.956521739,0
PERSIS Solo,PSM Makassar vs PERSIS Solo,0,17,13.625
PERSIS Solo,PERSIS Solo vs PSS Sleman,0,7.6875,12.33333333
PERSIS Solo,PERSIS Solo vs PSIS Semarang,0,12.5,7.666666667
PERSIS Solo,PERSIS Solo vs Madura United FC,5.3125,10,0
PERSIS Solo,PERSIS Solo vs Borneo FC Samarinda,-,11.8,14.66666667
PERSIS Solo,PERSIJA Jakarta vs PERSIS Solo,-,20.09090909,6.714285714
PERSIS Solo,PERSEBAYA Surabaya vs PERSIS Solo,15.8,5.857142857,9
PERSIS Solo,Malut United FC vs PERSIS Solo,0,20.57142857,18
PERSIS Solo,Bali United FC vs PERSIS Solo,0,-,14.8
PERSIK Kediri,PERSIK Kediri vs PERSITA Tangerang,8.041666667,11.33333333,0
PERSIK Kediri,PERSIK Kediri vs PSIS Semarang,0,9.764705882,-
PERSIK Kediri,PERSIK Kediri vs PERSIB Bandung,8,15.66666667,0
PERSIK Kediri,PERSIK Kediri vs PSBS Biak,0,6,10.25
PERSIK Kediri,PERSIK Kediri vs Bali United FC,0,3,5.904761905
PERSIK Kediri,PERSIS Solo vs PERSIK Kediri,8.25,7.666666667,0
PERSIK Kediri,PS Barito Putera vs PERSIK Kediri,5.857142857,13.18181818,-
PERSIK Kediri,PSM Makassar vs PERSIK Kediri,7.2,17.5,0
PERSIK Kediri,PSS Sleman vs PERSIK Kediri,10.75,12.5,0
PERSIK Kediri,PERSIK Kediri vs Malut United FC,0,7.884615385,0
PERSIK Kediri,Dewa United FC vs PERSIK Kediri,15.41666667,-,0
PERSIJA Jakarta,PSIS Semarang vs PERSIJA Jakarta,6.9,13.2,0
PERSIJA Jakarta,PERSIJA Jakarta vs PERSIS Solo,16.33333333,8.631578947,2
PERSIJA Jakarta,AREMA FC vs PERSIJA Jakarta,10.58333333,9.666666667,0
PERSIJA Jakarta,PERSEBAYA Surabaya vs PERSIJA Jakarta,25.33333333,15.75,7
PERSIJA Jakarta,PERSIB Bandung vs PERSIJA Jakarta,0,11.44444444,20.66666667
PERSIJA Jakarta,PERSIJA Jakarta vs Madura United FC,29.85714286,15,0
PERSIJA Jakarta,PERSIJA Jakarta vs Dewa United FC,0,16.76190476,0
PERSIJA Jakarta,PERSIJA Jakarta vs PS Barito Putera,9.111111111,7,0
PERSIJA Jakarta,PERSIJA Jakarta vs PSM Makassar,0,8,8.666666667
PERSIJA Jakarta,PERSITA Tangerang vs PERSIJA Jakarta,0,7.310344828,0
PERSIJA Jakarta,PSBS Biak vs PERSIJA Jakarta,0,12,10.5
PERSIB Bandung,PERSIB Bandung vs PERSIJA Jakarta,16.83333333,13.75,0
PERSIB Bandung,Dewa United FC vs PERSIB Bandung,12.28571429,17.30769231,0
PERSIB Bandung,Madura United FC vs PERSIB Bandung,18.6,6.636363636,32
PERSIB Bandung,PERSIB Bandung vs AREMA FC,0,10.25,6.25
PERSIB Bandung,PERSIB Bandung vs Borneo FC Samarinda,28.2,27,0
PERSIB Bandung,PERSIB Bandung vs PERSEBAYA Surabaya,21.28571429,10.5,0
PERSIB Bandung,PERSIB Bandung vs Semen Padang FC,29.75,12.66666667,0
PERSIB Bandung,PERSIB Bandung vs PSBS Biak,24.11111111,13,0
PERSIB Bandung,PERSIB Bandung vs PSIS Semarang,11.6,11.4,0
PERSIB Bandung,PERSIK Kediri vs PERSIB Bandung,0,32.14285714,51.5
PERSIB Bandung,PSM Makassar vs PERSIB Bandung,0,17.88888889,0
PERSEBAYA Surabaya,PERSEBAYA Surabaya vs PSM Makassar,0,5.857142857,7.714285714
PERSEBAYA Surabaya,Malut United FC vs PERSEBAYA Surabaya,0,12.07142857,0
PERSEBAYA Surabaya,PERSEBAYA Surabaya vs Dewa United FC,0,18.58823529,0
PERSEBAYA Surabaya,PERSEBAYA Surabaya vs PERSIJA Jakarta,13.75,12,11.6
PERSEBAYA Surabaya,PERSEBAYA Surabaya vs PERSIS Solo,12.875,11.75,5.083333333
PERSEBAYA Surabaya,PERSEBAYA Surabaya vs PS Barito Putera,-,7.526315789,16.2
PERSEBAYA Surabaya,PERSITA Tangerang vs PERSEBAYA Surabaya,15,29,0
PERSEBAYA Surabaya,PERSEBAYA Surabaya vs PSS Sleman,6.444444444,5.37037037,0
PERSEBAYA Surabaya,PERSIB Bandung vs PERSEBAYA Surabaya,0,18.16666667,12.05
PERSEBAYA Surabaya,PSBS Biak vs PERSEBAYA Surabaya,14,5.666666667,0
PERSEBAYA Surabaya,PSIS Semarang vs PERSEBAYA Surabaya,9.909090909,12.35714286,0
Malut United FC,AREMA FC vs Malut United FC,14.75,14.46153846,-
Malut United FC,Borneo FC Samarinda vs Malut United FC,0,34.28571429,9
Malut United FC,Madura United FC vs Malut United FC,0,21.25,-
Malut United FC,Malut United FC vs Bali United FC,12.5,13.33333333,9
Malut United FC,Malut United FC vs PERSEBAYA Surabaya,0,33,0
Malut United FC,Malut United FC vs PERSIS Solo,14.83333333,15.63636364,0
Malut United FC,Malut United FC vs PS Barito Putera,0,22.78571429,0
Malut United FC,Malut United FC vs Semen Padang FC,22,21.16666667,0
Malut United FC,PERSIK Kediri vs Malut United FC,0,13.8,0
Malut United FC,PERSITA Tangerang vs Malut United FC,38.125,26,0
Malut United FC,PSS Sleman vs Malut United FC,20,13.46153846,0
Madura United FC,Madura United FC vs PERSITA Tangerang,0,10.57894737,8.8
Madura United FC,Dewa United FC vs Madura United FC,10,19,59
Madura United FC,Madura United FC vs AREMA FC,0,8.833333333,17.57142857
Madura United FC,Madura United FC vs Malut United FC,-,14,0
Madura United FC,Madura United FC vs PERSIB Bandung,27.66666667,9.3,13.375
Madura United FC,PERSIJA Jakarta vs Madura United FC,0,-,15.92307692
Madura United FC,PSBS Biak vs Madura United FC,0,12.25,11.57142857
Madura United FC,Madura United FC vs PSIS Semarang,12.47619048,11.25,0
Madura United FC,PERSIS Solo vs Madura United FC,0,19.125,28
Madura United FC,PS Barito Putera vs Madura United FC,0,-,7.108108108
Madura United FC,PSM Makassar vs Madura United FC,0,9,8.9
Dewa United FC,AREMA FC vs Dewa United FC,0,7.85,0
Dewa United FC,Borneo FC Samarinda vs Dewa United FC,0,9.857142857,50
Dewa United FC,Dewa United FC vs Bali United FC,12.33333333,19.5,0
Dewa United FC,Dewa United FC vs Madura United FC,14,11,19
Dewa United FC,Dewa United FC vs PERSIB Bandung,0,13.72727273,10.33333333
Dewa United FC,Dewa United FC vs PERSIK Kediri,0,7.666666667,16.58333333
Dewa United FC,Dewa United FC vs PSIS Semarang,35.75,11.57142857,0
Dewa United FC,PERSEBAYA Surabaya vs Dewa United FC,0,9.411764706,0
Dewa United FC,PERSIJA Jakarta vs Dewa United FC,0,14.29411765,0
Dewa United FC,PSM Makassar vs Dewa United FC,0,9.285714286,10
Dewa United FC,Semen Padang FC vs Dewa United FC,12.94117647,7,0
Borneo FC Samarinda,AREMA FC vs Borneo FC Samarinda,8.272727273,6.125,0
Borneo FC Samarinda,Borneo FC Samarinda vs Bali United FC,13.33333333,8,0
Borneo FC Samarinda,Borneo FC Samarinda vs Dewa United FC,7.333333333,5,0
Borneo FC Samarinda,Borneo FC Samarinda vs Malut United FC,20,6.173913043,0
Borneo FC Samarinda,Borneo FC Samarinda vs PERSITA Tangerang,0,9.047619048,0
Borneo FC Samarinda,Borneo FC Samarinda vs PSBS Biak,5.965517241,10,0
Borneo FC Samarinda,PERSIB Bandung vs Borneo FC Samarinda,0,8.4,12.88888889
Borneo FC Samarinda,PS Barito Putera vs Borneo FC Samarinda,7.75,7.384615385,0
Borneo FC Samarinda,PSS Sleman vs Borneo FC Samarinda,23.28571429,17.66666667,0
Borneo FC Samarinda,Semen Padang FC vs Borneo FC Samarinda,6.483870968,4.5,0
Borneo FC Samarinda,PERSIS Solo vs Borneo FC Samarinda,13,10.33333333,3
Bali United FC,Borneo FC Samarinda vs Bali United FC,0,20.14285714,6.842105263
Bali United FC,Bali United FC vs AREMA FC,0,7.44,0
Bali United FC,Bali United FC vs PERSIS Solo,8.952380952,6.25,0
Bali United FC,Bali United FC vs PS Barito Putera,10,11.90909091,0
Bali United FC,Bali United FC vs PSS Sleman,0,9.9,0
Bali United FC,Bali United FC vs Semen Padang FC,24,13,0
Bali United FC,Dewa United FC vs Bali United FC,0,10.21428571,11
Bali United FC,Malut United FC vs Bali United FC,-,8.3125,8
Bali United FC,PERSIK Kediri vs Bali United FC,6.62962963,5.555555556,0
Bali United FC,PERSITA Tangerang vs Bali United FC,-,12.94117647,0
Bali United FC,PSBS Biak vs Bali United FC,0,6.642857143,10.57142857
AREMA FC,PERSIB Bandung vs AREMA FC,44,13.61538462,0
AREMA FC,AREMA FC vs Malut United FC,17.5,11.53846154,5.4
AREMA FC,AREMA FC vs PERSIJA Jakarta,0,18.83333333,9.769230769
AREMA FC,Bali United FC vs AREMA FC,0,10.4,0
AREMA FC,Madura United FC vs AREMA FC,9.8,7.2,0
AREMA FC,AREMA FC vs Dewa United FC,0,15.05263158,0
AREMA FC,PS Barito Putera vs AREMA FC,12.41666667,12.71428571,0
AREMA FC,PSIS Semarang vs AREMA FC,-,10.70588235,10.16666667
AREMA FC,PSM Makassar vs AREMA FC,17.75,41.5,0
AREMA FC,PSS Sleman vs AREMA FC,0,7.222222222,8.4
AREMA FC,AREMA FC vs Borneo FC Samarinda,0,17.11111111,8.25
